feature,importance_gain,importance_split
safety_margin_mean,40562.5,1
safety_margin_mean_lag_3,268.37885814905167,2
Cyl_tmp_z1,0.0,0
Cyl_tmp_z3,0.0,0
Cyl_tmp_z4,0.0,0
Cyl_tmp_z5,0.0,0
Cyl_tmp_z8,0.0,0
Dosage_time,0.0,0
Ejector_fix_deviation_torque,0.0,0
Extruder_start_position,0.0,0
Extruder_torque,0.0,0
safety_utilization_mean_rolling_mean_20,0.0,0
safety_utilization_mean_rolling_std_20,0.0,0
Cushion_tol_violation,0.0,0
Injection_time_tol_violation,0.0,0
Dosage_time_tol_violation,0.0,0
Injection_pressure_tol_violation,0.0,0
Switch_pressure_tol_violation,0.0,0
Cyl_tmp_z1_tol_violation,0.0,0
Cyl_tmp_z2_tol_violation,0.0,0
